E	q1	q1_err	q2	q2_err	FWHM	FWHM_err
#0						
#0.25						
#0.5						
#0.75						
#1						
#1.25						
1.5	0.0316026	0.01952	0.0236951	0.02544	0.0260937	0.01633
1.75	0.03459	0.006953	0.0375674	0.009601	0.0280701	0.005776
2	0.0408902	0.0048	0.0480901	0.006429	0.0307237	0.004046
2.25	0.0506177	0.005411	0.0462754	0.00605	0.0317841	0.00417
2.5	0.0577088	0.006307	0.0453738	0.007706	0.0293187	0.005444
2.75	0.0613709	0.005776	0.0636144	0.01317	0.0335707	0.007121
3	0.0773986	0.00488	0.0700712	0.007913	0.0485936	0.00783
3.25	0.0866491	0.003045	0.0749557	0.005802	0.0257045	0.004191
#3.5	0.0951373	0.003965	0.0645477	0.007463	0.0202785	0.004052
#3.75	0.106699	0.009787	0.0954332	0.00436	0.0395871	0.007429
#4						
#4.25						
#4.5						
