E	q	q_err	FWHM	FWHM_err
0				
0.25				
0.5				
0.75				
1				
1.25				
#1.5	0.00846316	0.6786	0.0992824	0.08052
1.75	0.0547377	0.01075	0.0816093	0.01528
2	0.0672542	0.004661	0.0620197	0.006897
2.25	0.100831	0.006393	0.0771417	0.008392
2.5	0.104871	0.005879	0.078919	0.007689
2.75	0.12334	0.005518	0.0811724	0.006988
3	0.131306	0.005525	0.0723994	0.007192
3.25	0.147018	0.004498	0.0325325	0.00555
3.5	0.166449	0.007502	0.0637885	0.01141
3.75	0.182431	0.008438	0.078169	0.01584
4	0.212015	0.007929	0.0890219	0.01975
4.25	0.268556	0.01989	0.139958	0.08887
4.5	0.270968	0.02361	0.174088	0.2044
